[2016-05-11 11:17:36,881] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/marital/id/2/ HTTP/1.1" 200 62
[2016-05-11 11:17:36,883] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:36,887] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/relationship/id/1/ HTTP/1.1" 200 72
[2016-05-11 11:17:36,888] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:36,892] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/village/prov/32/regency/74/subdistrict/01/id/1001/ HTTP/1.1" 200 119
[2016-05-11 11:17:36,894] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:36,898] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/subdistrict/prov/32/regency/74/id/01/ HTTP/1.1" 200 95
[2016-05-11 11:17:38,256] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/religion/id/1/ HTTP/1.1" 200 38
[2016-05-11 11:17:38,258] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:40,190] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:40,195] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/religion/id/1/ HTTP/1.1" 200 38
[2016-05-11 11:17:40,197] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:17:40,202] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/marital/id/2/ HTTP/1.1" 200 62
[2016-05-11 11:17:40,204] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
